Date,Open,Low,High,Slot,Volume,difference,difference%
donderdag 2 januari 2025,"191,485","188,71","193,2","190,63",17.508.875,"0,19","0,001"
vrijdag 3 januari 2025,"192,725","191,37","194,5","193,13",12.855.695,"2,5","0,0131"
maandag 6 januari 2025,,,"199,56","197,96",19.468.910,"4,83","0,025"
dinsdag 7 januari 2025,"198,27","195,94","202,138","196,71",16.940.583,"-1,25","-0,63%"
woensdag 8 januari 2025,"193,95","193,76","197,64","195,398",14.300.551,"-1,312","-0,67%"
vrijdag 10 januari 2025,"195,42","191,6","197,6","193,17",20.375.570,"-2,228","-1,14%"
maandag 13 januari 2025,,"188,66","192,49","192,29",13.147.568,"-0,88","-0,46%"
dinsdag 14 januari 2025,,"189,64","193,26","191,05",13.632.708,"-1,24","-0,64%"
woensdag 15 januari 2025,,"193,33","197,8","196,98",12.873.598,"5,93","0,031"
donderdag 16 januari 2025,"195,825","194,3","196,98","194,41",13.423.314,"-2,57","-1,30%"
vrijdag 17 januari 2025,,"195,35","198,81","197,55",21.034.499,"3,14","0,0162"
dinsdag 21 januari 2025,"200,51","199,44","203,84","199,63",18.935.542,"2,08","0,0105"
woensdag 22 januari 2025,"200,55","199,2","202,12","200,03",15.446.798,"0,4","0,002"
donderdag 23 januari 2025,"199,98","196,82","201,94","199,592",15.145.863,-438,"-0,22%"
vrijdag 24 januari 2025,"199,85","199,784","202,57","201,9",12.710.598,"2,308","0,0116"
maandag 27 januari 2025,,"192,7","198,67","193,833",24.898.279,"-8,068","-4,00%"
dinsdag 28 januari 2025,"194,65","192,63","197,23","197,07",15.926.605,"3,237","0,0167"
woensdag 29 januari 2025,"197,37","195,19","198,46","197,18",12.153.342,"0,11","0,0006"
donderdag 30 januari 2025,,"199,472","203,238","202,63",14.525.288,"5,45","0,0276"
vrijdag 31 januari 2025,"203,715","203,64","207,08","205,6",17.057.020,"2,97","0,0147"
